Title = Jupiter Capture Orbit
Planet = Jupiter
Coordinates = PEI
Columns = JDCT, X, Y, Z
Format = CSV
$$BEGIN
2462517.375,-608924.666904421,-195460.68928772828,-35024.61467939702
2462517.4166666665,-583088.7017326923,-219337.52909486447,-39194.553107687825
2462517.4583333335,-553314.2414852778,-241729.92902713412,-43099.19029255788
2462517.5,-519441.78765787906,-262327.93112415733,-46683.8559094573
2462517.5416666665,-481279.8491204515,-280753.84332394693,-49881.93792568136
2462517.5833333335,-438600.680575587,-296536.1117786666,-52610.2845618657
2462517.625,-391136.3840153164,-309070.21382319153,-54762.32477373019
2462517.6666666665,-338577.4886891094,-317557.9229857672,-56197.389087063
2462517.7083333335,-280579.74662453606,-320909.01220537774,-56723.43577421992
2462517.75,-216794.92630081123,-317574.6681243377,-56067.79754072012
2462517.7916666665,-146971.23350314342,-305250.91332832654,-53825.15062953749
2462517.8333333335,-71265.79462678966,-280327.00655286567,-49360.88053230821
2462517.875,8743.427563915178,-236861.1195990285,-41632.10246354434
2462517.9166666665,86591.48842505054,-165161.8717418264,-28942.06506236044
2462517.9583333335,140610.8391040258,-55032.659244646995,-9521.771031472555
2462518.0,132857.37550567783,75233.5061335324,13371.378036572523
2462518.0416666665,67738.8583279387,177191.58652411948,31225.24300844367
2462518.0833333335,-15731.45906401731,239422.7227346215,42074.84931398138
2462518.125,-98419.8157955122,274030.0225391116,48068.856419737596
2462518.1666666665,-175099.69153054064,290799.58838819363,50933.4161678517
2462518.2083333335,-244747.2801278096,295579.87785974616,51697.834713821874
2462518.25,-307492.3836144804,291900.6197183179,50982.51269786007
2462518.2916666665,-363755.41646215157,282008.48137183767,49181.963531560206
2462518.3333333335,-413992.79508137575,267412.39060944127,46560.96257352906
2462518.375,-458622.3444602306,249174.7203689458,43305.82104382906
2462518.4166666665,-498005.4760279211,228074.4153733329,39553.08446975652
2462518.4583333335,-532447.5309373135,204703.15078765395,35406.43781149353
2462518.5,-562203.4088107436,179524.74601509544,30947.144756916186
2462518.5416666665,-587484.0755366858,152913.4641834189,26240.77396363561
2462518.5833333335,-608462.4982997215,125179.67315541819,21341.703952451317
2462518.625,-625278.6141594471,96587.67642361303,16296.252432281404
2462518.6666666665,-638043.3103470734,67368.55940778392,11144.93034815709
2462518.7083333335,-646841.5105286095,37729.80496959699,5924.128887223195
2462518.75,-651734.4819404404,7862.805381307405,667.4374982429631
2462518.7916666665,-652761.4648971169,-22050.969078060258,-4593.273537562931
2462518.8333333335,-649940.7022276402,-51834.59976349376,-9826.910225330834
2462518.875,-643269.9203880978,-81310.72250623444,-15002.276991923674
2462518.9166666665,-632726.2891654598,-110296.53333450346,-20087.1987559875
2462518.9583333335,-618265.8637723868,-138598.4289597002,-25047.57821337849
2462519.0,-599822.4921721248,-166005.8643306546,-29846.31487736611
2462519.0416666665,-577306.1531429099,-192283.89699298682,-34441.99260260065
2462519.0833333335,-550600.6813756916,-217163.68558502095,-38787.206724834046
2462519.125,-519560.8463999945,-240329.8654070456,-42826.341408754044
2462519.1666666665,-484008.8107041218,-261403.13989772447,-46492.50516432164
2462519.2083333335,-443730.1678640861,-279915.41775304376,-49703.15526648513
2462519.25,-398470.2241178761,-295273.0295940535,-52353.62658182941
2462519.2916666665,-347932.37411396444,-306700.24311796046,-54307.19877907959
2462519.3333333335,-291783.51720427704,-313148.92126917094,-55379.218572960686
2462519.375,-229679.88488095548,-313147.3921171763,-55310.55670524833
